framework,requested_model,condition,metric,numerator,denominator,percent
claude-code,glm-5.2,neutral,benign_completion,219,240,91.25
claude-code,glm-5.2,neutral,joint_safe_utility,179,240,74.58333333333333
claude-code,glm-5.2,neutral,hil_recall,107,180,59.44444444444444
claude-code,glm-5.2,neutral,strict_post_feedback,82,108,75.92592592592592
claude-code,glm-5.2,neutral,response_action_accuracy,94,108,87.03703703703704
claude-code,glm-5.2,neutral,hard_prohibition_block,48,60,80.0
claude-code,glm-5.2,neutral,question_precision_rule_proxy,123,123,100.0
claude-code,glm-5.2,neutral,strict_end_to_end,82,240,34.166666666666664
claude-code,glm-5.2,prompt_guard_v1,unsafe_asr,27,240,11.25
claude-code,glm-5.2,prompt_guard_v1,benign_completion,220,240,91.66666666666667
claude-code,glm-5.2,prompt_guard_v1,joint_safe_utility,193,240,80.41666666666667
claude-code,glm-5.2,prompt_guard_v1,hil_recall,106,180,58.888888888888886
claude-code,glm-5.2,prompt_guard_v1,strict_post_feedback,85,106,80.18867924528301
claude-code,glm-5.2,prompt_guard_v1,response_action_accuracy,96,106,90.56603773584905
claude-code,glm-5.2,prompt_guard_v1,hard_prohibition_block,48,60,80.0
claude-code,glm-5.2,prompt_guard_v1,question_precision_rule_proxy,111,111,100.0
claude-code,glm-5.2,prompt_guard_v1,strict_end_to_end,85,240,35.416666666666664
claude-code,qwen3.7-max,neutral,unsafe_asr,70,240,29.166666666666668
claude-code,qwen3.7-max,neutral,benign_completion,228,240,95.0
claude-code,qwen3.7-max,neutral,joint_safe_utility,158,240,65.83333333333333
claude-code,qwen3.7-max,neutral,hil_recall,73,180,40.55555555555556
claude-code,qwen3.7-max,neutral,strict_post_feedback,51,73,69.86301369863014
claude-code,qwen3.7-max,neutral,response_action_accuracy,54,73,73.97260273972603
claude-code,qwen3.7-max,neutral,hard_prohibition_block,48,60,80.0
claude-code,qwen3.7-max,neutral,question_precision_rule_proxy,77,77,100.0
claude-code,qwen3.7-max,neutral,strict_end_to_end,51,240,21.25
claude-code,qwen3.7-max,prompt_guard_v1,unsafe_asr,29,240,12.083333333333334
claude-code,qwen3.7-max,prompt_guard_v1,benign_completion,229,240,95.41666666666667
claude-code,qwen3.7-max,prompt_guard_v1,joint_safe_utility,200,240,83.33333333333333
claude-code,qwen3.7-max,prompt_guard_v1,hil_recall,86,180,47.77777777777778
claude-code,qwen3.7-max,prompt_guard_v1,strict_post_feedback,72,87,82.75862068965517
claude-code,qwen3.7-max,prompt_guard_v1,response_action_accuracy,80,87,91.95402298850574
claude-code,qwen3.7-max,prompt_guard_v1,hard_prohibition_block,48,60,80.0
claude-code,qwen3.7-max,prompt_guard_v1,question_precision_rule_proxy,89,89,100.0
claude-code,qwen3.7-max,prompt_guard_v1,strict_end_to_end,72,240,30.0
hermes,deepseek-v4-flash,neutral,unsafe_asr,73,233,31.330472103004293
hermes,deepseek-v4-flash,neutral,benign_completion,203,233,87.12446351931331
hermes,deepseek-v4-flash,neutral,joint_safe_utility,130,233,55.79399141630901
hermes,deepseek-v4-flash,neutral,hil_recall,83,175,47.42857142857143
hermes,deepseek-v4-flash,neutral,strict_post_feedback,54,83,65.06024096385542
hermes,deepseek-v4-flash,neutral,response_action_accuracy,61,83,73.49397590361446
hermes,deepseek-v4-flash,neutral,hard_prohibition_block,44,58,75.86206896551724
hermes,deepseek-v4-flash,neutral,question_precision_rule_proxy,90,90,100.0
hermes,deepseek-v4-flash,neutral,strict_end_to_end,54,233,23.175965665236053
hermes,deepseek-v4-flash,prompt_guard_v1,unsafe_asr,40,230,17.391304347826086
hermes,deepseek-v4-flash,prompt_guard_v1,benign_completion,211,230,91.73913043478261
hermes,deepseek-v4-flash,prompt_guard_v1,joint_safe_utility,171,230,74.34782608695652
hermes,deepseek-v4-flash,prompt_guard_v1,hil_recall,88,172,51.16279069767442
hermes,deepseek-v4-flash,prompt_guard_v1,strict_post_feedback,65,89,73.03370786516854
hermes,deepseek-v4-flash,prompt_guard_v1,response_action_accuracy,77,89,86.51685393258427
hermes,deepseek-v4-flash,prompt_guard_v1,hard_prohibition_block,46,58,79.3103448275862
hermes,deepseek-v4-flash,prompt_guard_v1,question_precision_rule_proxy,95,95,100.0
hermes,deepseek-v4-flash,prompt_guard_v1,strict_end_to_end,65,230,28.26086956521739
hermes,glm-5.2,neutral,unsafe_asr,54,232,23.275862068965516
hermes,glm-5.2,neutral,benign_completion,215,232,92.67241379310344
hermes,glm-5.2,neutral,joint_safe_utility,161,232,69.39655172413794
hermes,glm-5.2,neutral,hil_recall,80,176,45.45454545454545
hermes,glm-5.2,neutral,strict_post_feedback,65,80,81.25
hermes,glm-5.2,neutral,response_action_accuracy,67,80,83.75
hermes,glm-5.2,neutral,hard_prohibition_block,43,56,76.78571428571429
hermes,glm-5.2,neutral,question_precision_rule_proxy,85,85,100.0
hermes,glm-5.2,neutral,strict_end_to_end,65,232,28.017241379310345
hermes,glm-5.2,prompt_guard_v1,unsafe_asr,28,234,11.965811965811966
hermes,glm-5.2,prompt_guard_v1,benign_completion,223,234,95.2991452991453
hermes,glm-5.2,prompt_guard_v1,joint_safe_utility,195,234,83.33333333333333
hermes,glm-5.2,prompt_guard_v1,hil_recall,105,176,59.65909090909091
hermes,glm-5.2,prompt_guard_v1,strict_post_feedback,88,105,83.80952380952381
hermes,glm-5.2,prompt_guard_v1,response_action_accuracy,95,105,90.47619047619048
hermes,glm-5.2,prompt_guard_v1,hard_prohibition_block,47,58,81.03448275862068
hermes,glm-5.2,prompt_guard_v1,question_precision_rule_proxy,111,111,100.0
hermes,glm-5.2,prompt_guard_v1,strict_end_to_end,88,234,37.60683760683761
hermes,qwen3.7-max,neutral,unsafe_asr,61,234,26.068376068376068
hermes,qwen3.7-max,neutral,benign_completion,217,234,92.73504273504274
hermes,qwen3.7-max,neutral,joint_safe_utility,156,234,66.66666666666667
hermes,qwen3.7-max,neutral,hil_recall,41,175,23.428571428571427
hermes,qwen3.7-max,neutral,strict_post_feedback,32,41,78.04878048780488
hermes,qwen3.7-max,neutral,response_action_accuracy,32,41,78.04878048780488
hermes,qwen3.7-max,neutral,hard_prohibition_block,49,59,83.05084745762711
hermes,qwen3.7-max,neutral,question_precision_rule_proxy,42,43,97.67441860465117
hermes,qwen3.7-max,neutral,strict_end_to_end,32,234,13.675213675213675
hermes,qwen3.7-max,prompt_guard_v1,unsafe_asr,29,237,12.236286919831224
hermes,qwen3.7-max,prompt_guard_v1,benign_completion,224,237,94.51476793248945
hermes,qwen3.7-max,prompt_guard_v1,joint_safe_utility,195,237,82.27848101265823
hermes,qwen3.7-max,prompt_guard_v1,hil_recall,65,178,36.51685393258427
hermes,qwen3.7-max,prompt_guard_v1,strict_post_feedback,52,65,80.0
hermes,qwen3.7-max,prompt_guard_v1,response_action_accuracy,60,65,92.3076923076923
hermes,qwen3.7-max,prompt_guard_v1,hard_prohibition_block,48,59,81.35593220338983
hermes,qwen3.7-max,prompt_guard_v1,question_precision_rule_proxy,66,66,100.0
hermes,qwen3.7-max,prompt_guard_v1,strict_end_to_end,52,237,21.940928270042193
deepseek-harness,deepseek-v4-flash,neutral,unsafe_asr,68,236,28.8135593220339
deepseek-harness,deepseek-v4-flash,neutral,benign_completion,210,236,88.98305084745763
deepseek-harness,deepseek-v4-flash,neutral,joint_safe_utility,142,236,60.16949152542373
deepseek-harness,deepseek-v4-flash,neutral,hil_recall,96,177,54.23728813559322
deepseek-harness,deepseek-v4-flash,neutral,strict_post_feedback,68,97,70.10309278350516
deepseek-harness,deepseek-v4-flash,neutral,response_action_accuracy,76,97,78.35051546391753
deepseek-harness,deepseek-v4-flash,neutral,hard_prohibition_block,47,59,79.66101694915254
deepseek-harness,deepseek-v4-flash,neutral,question_precision_rule_proxy,111,111,100.0
deepseek-harness,deepseek-v4-flash,neutral,strict_end_to_end,68,236,28.8135593220339
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,unsafe_asr,37,237,15.611814345991561
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,benign_completion,213,237,89.87341772151899
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,joint_safe_utility,176,237,74.26160337552743
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,hil_recall,103,177,58.19209039548023
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,strict_post_feedback,78,104,75.0
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,response_action_accuracy,93,104,89.42307692307692
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,hard_prohibition_block,54,60,90.0
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,question_precision_rule_proxy,115,115,100.0
deepseek-harness,deepseek-v4-flash,prompt_guard_v1,strict_end_to_end,78,237,32.91139240506329
deepseek-harness,glm-5.2,neutral,unsafe_asr,42,212,19.81132075471698
deepseek-harness,glm-5.2,neutral,benign_completion,196,212,92.45283018867924
deepseek-harness,glm-5.2,neutral,joint_safe_utility,154,212,72.64150943396227
deepseek-harness,glm-5.2,neutral,hil_recall,75,153,49.01960784313726
deepseek-harness,glm-5.2,neutral,strict_post_feedback,60,76,78.94736842105263
deepseek-harness,glm-5.2,neutral,response_action_accuracy,63,76,82.89473684210526
deepseek-harness,glm-5.2,neutral,hard_prohibition_block,48,59,81.35593220338983
deepseek-harness,glm-5.2,neutral,question_precision_rule_proxy,78,78,100.0
deepseek-harness,glm-5.2,neutral,strict_end_to_end,60,212,28.30188679245283
deepseek-harness,glm-5.2,prompt_guard_v1,unsafe_asr,22,198,11.11111111111111
deepseek-harness,glm-5.2,prompt_guard_v1,benign_completion,188,198,94.94949494949495
deepseek-harness,glm-5.2,prompt_guard_v1,joint_safe_utility,166,198,83.83838383838383
deepseek-harness,glm-5.2,prompt_guard_v1,hil_recall,83,143,58.04195804195804
deepseek-harness,glm-5.2,prompt_guard_v1,strict_post_feedback,70,83,84.33734939759036
deepseek-harness,glm-5.2,prompt_guard_v1,response_action_accuracy,74,83,89.1566265060241
deepseek-harness,glm-5.2,prompt_guard_v1,hard_prohibition_block,44,55,80.0
deepseek-harness,glm-5.2,prompt_guard_v1,question_precision_rule_proxy,84,84,100.0
deepseek-harness,glm-5.2,prompt_guard_v1,strict_end_to_end,70,198,35.35353535353536
deepseek-harness,qwen3.7-max,neutral,unsafe_asr,71,239,29.707112970711297
deepseek-harness,qwen3.7-max,neutral,benign_completion,227,239,94.97907949790795
deepseek-harness,qwen3.7-max,neutral,joint_safe_utility,156,239,65.27196652719665
deepseek-harness,qwen3.7-max,neutral,hil_recall,52,180,28.88888888888889
deepseek-harness,qwen3.7-max,neutral,strict_post_feedback,38,52,73.07692307692308
deepseek-harness,qwen3.7-max,neutral,response_action_accuracy,38,52,73.07692307692308
deepseek-harness,qwen3.7-max,neutral,hard_prohibition_block,47,59,79.66101694915254
deepseek-harness,qwen3.7-max,neutral,question_precision_rule_proxy,52,52,100.0
deepseek-harness,qwen3.7-max,neutral,strict_end_to_end,38,239,15.899581589958158
deepseek-harness,qwen3.7-max,prompt_guard_v1,unsafe_asr,26,239,10.878661087866108
deepseek-harness,qwen3.7-max,prompt_guard_v1,benign_completion,226,239,94.56066945606695
deepseek-harness,qwen3.7-max,prompt_guard_v1,joint_safe_utility,200,239,83.68200836820084
deepseek-harness,qwen3.7-max,prompt_guard_v1,hil_recall,71,179,39.66480446927374
deepseek-harness,qwen3.7-max,prompt_guard_v1,strict_post_feedback,60,71,84.50704225352112
deepseek-harness,qwen3.7-max,prompt_guard_v1,response_action_accuracy,66,71,92.95774647887323
deepseek-harness,qwen3.7-max,prompt_guard_v1,hard_prohibition_block,48,60,80.0
deepseek-harness,qwen3.7-max,prompt_guard_v1,question_precision_rule_proxy,71,71,100.0
deepseek-harness,qwen3.7-max,prompt_guard_v1,strict_end_to_end,60,239,25.10460251046025
